"","log2FoldChange","padj"
"LFT_00545",-4.48977266039191,4.42362010104551e-86
"LFT_02608",-5.07358681154292,2.97646516778913e-78
"LFT_00033",4.94683173551967,5.94500604179299e-76
"LFT_02183",4.30550726394124,3.52162406712541e-60
"LFT_00036",4.86886103937294,2.44933796918519e-56
"LFT_02098",-5.24932971889986,7.38444218325159e-55
"LFT_01205",2.66910368495996,2.42905248098873e-54
"LFT_02611",-5.09189629751023,2.48550737448602e-47
"LFT_01519",3.47307379486941,9.82216494491447e-42
"LFT_00038",3.58935239665016,1.03543928966104e-39
"LFT_00034",5.03506866637398,1.04002640801499e-38
"LFT_00763",3.82670023678497,1.31753443642898e-32
"LFT_00039",3.95586785434526,1.35816172037119e-32
"LFT_01517",3.44599374229886,1.27097482120599e-30
"LFT_01206",2.49362212436276,2.50679980002231e-30
"LFT_01210",2.77501329855281,8.7819839913491e-30
"LFT_00037",3.38748106743708,1.29914897990155e-29
"LFT_00771",4.15052566809439,1.49943967083929e-28
"LFT_01211",3.42751332391803,4.89267358562866e-28
"LFT_00786",3.24044385030834,1.16448736882935e-26
"LFT_01065",3.26619059606146,1.60718623986639e-26
"LFT_00785",3.22862262816051,7.6751754746095e-26
"LFT_00777",3.45069076540285,2.69493061604972e-25
"LFT_02607",-4.71546688282703,3.84932295420301e-25
"LFT_01197",2.59836464950386,3.97679855646338e-25
"LFT_01201",2.44847372389665,1.7293501963289e-24
"LFT_01230",2.33500381532773,2.27936495769271e-24
"LFT_00543",-2.10057618851284,4.10033739637589e-24
"LFT_01212",2.85074669244616,6.60393101727296e-24
"LFT_00762",3.79736345626482,6.60393101727296e-24
"LFT_00764",3.68051076215194,6.64914824529261e-23
"LFT_00772",2.36605206195404,7.11407070930154e-23
"LFT_00229",4.00549511509206,7.78690050178407e-23
"LFT_00035",4.50393415587402,8.06316657275235e-23
"LFT_00780",2.7091329243035,1.03971433829738e-22
"LFT_02609",-4.94683229568188,3.5565906131485e-22
"LFT_00230",3.36594905671078,1.45973052332426e-21
"LFT_00774",2.88703795513547,6.91043040078164e-21
"LFT_01202",2.14248052888027,1.46054469196963e-19
"LFT_01213",2.4815488645576,1.96826192085435e-19
"LFT_01518",3.21941105802438,2.80838799140493e-19
"LFT_00775",3.38135175775931,2.80838799140493e-19
